Features;Accuracy
[33, 35, 4, 34, 2, 14, 10, 7, 39, 23];77.10000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 39, 24];77.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 25];76.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 26];75.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 27];78.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 28];76.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 29];78.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 30];76.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 31];76.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 32];78.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 36];76.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 37];76.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 38];75.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 40];78.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 1];75.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 3];75.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 5];74.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 6];75.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 8];76.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 11];74.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 12];75.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 13];74.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 15];76.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 16];76.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 17];75.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 18];75.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 19];74.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 20];75.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 21];75.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 22];76.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 23];76.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 24];76.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 25];76.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 26];76.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27];77.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 28];76.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 29];76.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 30];75.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 31];74.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 32];75.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 36];74.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 37];74.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 38];74.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 40];76.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 1];75.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 3];75.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 5];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 6];75.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 8];75.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 11];74.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 12];73.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 13];76.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 15];73.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 16];74.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 17];73.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 18];75.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 19];76.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 20];75.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 21];73.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 22];75.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 23];74.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 24];74.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 25];74.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 26];74.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28];78.10000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 29];76.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 30];74.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 31];74.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 32];75.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 36];76.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 37];75.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 38];74.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 40];73.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 1];77.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 3];76.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 5];73.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 6];75.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 8];76.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 11];75.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 12];74.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 13];76.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 15];75.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 16];73.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 17];73.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 18];75.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 19];74.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 20];76.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 21];76.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 22];76.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 23];75.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 24];77.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 25];74.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 26];74.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 29];75.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 30];75.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 31];74.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 32];75.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36];77.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 37];77.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 38];74.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 40];74.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 1];72.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 3];74.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 5];73.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 6];74.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 8];74.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 11];73.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 12];75.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 13];73.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 15];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 16];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 17];73.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 18];74.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 19];75.1
